PV_gen_share	OcM	REM	Storage_hrs	BackupShare	Storage_LCOH	GreenHydrogen_LCOH	Transport_LCHS	Electricity_LCOH	Total_LCOH		
0.35	0.5	2	19	0.431250712	0.368963477	5.290030494	0.054249853	3.788208144	9.501451967		
0.4	0.5	2	20	0.437296116	0.388382607	5.34678696	0.054249853	3.712301678	9.501721099		
0.45	0.5	2	21	0.44340299	0.407801737	5.405372293	0.054249853	3.635147908	9.502571791		
0.35	0.5	2.5	13	0.299380809	0.252075632	5.356526976	0.058368731	3.835891039	9.502862378		
0.5	0.5	2	20	0.45188814	0.388382607	5.488940332	0.054249853	3.571713158	9.50328595		
0.6	0.5	2.5	8	0.350186231	0.15525045	5.781076513	0.058416512	3.509879822	9.504623296		
0.6	0.5	2.5	4	0.355316514	0.077649866	5.829842413	0.058435055	3.539523908	9.505451243		
0.65	0.5	2	2	0.493379152	0.038838261	5.93788469	0.054249853	3.475687993	9.506660797		
0.15	0.5	2	6	0.418865699	0.116511651	5.177204027	0.054248396	4.15891023	9.506874304		
0.55	0.5	2	18	0.461662242	0.349544346	5.588467944	0.054249853	3.514678658	9.506940801		
0.25	0.5	2	14	0.423359358	0.271864355	5.217618856	0.054249161	3.96385228	9.507584651		
0.55	0.5	2.5	3	0.347976396	0.058242416	5.765088808	0.058440088	3.62590092	9.507672231		
0.1	0.5	2	1	0.418021692	0.019418546	5.169677934	0.05424822	4.265593456	9.508938156		
0.2	0.5	2	10	0.421240091	0.194187411	5.198474627	0.054248766	4.062654574	9.509565377		
0.45	0.5	2.5	17	0.312214524	0.329569323	5.454494959	0.058356683	3.668227043	9.510648008		
0.35	0.5	2.5	6	0.309380233	0.11643525	5.440069971	0.058415213	3.895797546	9.51071798		
0.5	0.5	2.5	17	0.321014023	0.329641056	5.526683746	0.058369385	3.596305292	9.51099948		
0.35	0.5	2.5	14	0.298719212	0.271435209	5.35062534	0.058362097	3.83165913	9.512081777		
0.4	0.5	2.5	17	0.303590939	0.329505598	5.385711421	0.058345399	3.739363375	9.512925792		
0.3	0.5	2	17	0.427314514	0.330124143	5.253690354	0.054249677	3.876721612	9.514785785		
0.6	0.5	2.5	9	0.349684986	0.174636888	5.775621859	0.058409866	3.506564016	9.515232629		
0.6	0.5	2	13	0.475009704	0.252448694	5.730368249	0.054249853	3.479055001	9.516121798		
0.55	0.5	2.5	15	0.332984013	0.290936716	5.627744548	0.058384829	3.539412048	9.51647814		
0.35	0.5	2	20	0.431250712	0.388382607	5.290030494	0.054249853	3.788208144	9.520871097		
0.4	0.5	2	21	0.437296116	0.407801737	5.34678696	0.054249853	3.712301678	9.521140229		
0.45	0.5	2	22	0.44340299	0.427220868	5.405372293	0.054249853	3.635147908	9.521990922		
0.5	0.5	2	21	0.45188814	0.407801737	5.488940332	0.054249853	3.571713158	9.522705081		
0.35	0.5	2.5	15	0.298259588	0.290790387	5.346269219	0.058355464	3.828535469	9.523950538		
0.65	0.5	2	3	0.493379152	0.058257391	5.93788469	0.054249853	3.475687993	9.526079928		
0.15	0.5	2	7	0.418865699	0.13593026	5.177204027	0.054248396	4.15891023	9.526292913		
0.55	0.5	2	19	0.461662242	0.368963477	5.588467944	0.054249853	3.514678658	9.526359931		
0.35	0.5	2.5	5	0.311876962	0.097040415	5.46066408	0.05842186	3.910565045	9.5266914		
0.25	0.5	2	15	0.423359358	0.291283237	5.217618856	0.054249161	3.96385228	9.527003534		
0.45	0.5	2.5	18	0.311986838	0.348955754	5.452696662	0.058356683	3.667016072	9.52702517		
0.5	0.5	2.5	18	0.320786336	0.349031707	5.524837479	0.058369385	3.595102336	9.527340906		
0.45	0.5	2.5	3	0.331983763	0.058239076	5.626811928	0.058436737	3.784265048	9.527752789		
0.1	0.5	2	2	0.418021692	0.038837092	5.169677934	0.05424822	4.265593456	9.528356702		
0.2	0.5	2	11	0.421240091	0.213606152	5.198474627	0.054248766	4.062654574	9.528984118		
0.4	0.5	2.5	18	0.303363253	0.34888828	5.383958244	0.058345399	3.738144502	9.529336425		
0.6	0.5	2.5	10	0.349457299	0.194038613	5.773496949	0.058409152	3.505272315	9.531217029		
0.55	0.5	2.5	16	0.332756327	0.310332497	5.625830064	0.058384829	3.538206453	9.532753842		
0.3	0.5	2	18	0.427314514	0.34954321	5.253690354	0.054249677	3.876721612	9.534204852		
0.6	0.5	2	14	0.475009704	0.271867825	5.730368249	0.054249853	3.479055001	9.535540929		
0.35	0.5	2.5	16	0.297826276	0.310141165	5.34211959	0.058348833	3.825559878	9.536169466		
0.6	0.5	2.5	3	0.358685943	0.058244028	5.861456765	0.058441706	3.558741816	9.536884315		
0.35	0.5	2	21	0.431250712	0.407801737	5.290030494	0.054249853	3.788208144	9.540290228		
0.4	0.5	2	22	0.437296116	0.427220868	5.34678696	0.054249853	3.712301678	9.540559359		
0.45	0.5	2	23	0.44340299	0.446639998	5.405372293	0.054249853	3.635147908	9.541410052		
0.5	0.5	2	22	0.45188814	0.427220868	5.488940332	0.054249853	3.571713158	9.542124211		
0.45	0.5	2.5	19	0.311759151	0.368342185	5.450899551	0.058356683	3.6658059	9.543404319		
0.3	0.5	2.5	10	0.297687279	0.193970481	5.34624575	0.058388643	3.945111871	9.543716745		
0.5	0.5	2.5	19	0.320630039	0.368422357	5.52357081	0.058369385	3.594277025	9.544639577		
0.3	0.5	2.5	9	0.299111339	0.174593287	5.357943773	0.058395283	3.953755677	9.54468802		
0.65	0.5	2	4	0.493379152	0.077676521	5.93788469	0.054249853	3.475687993	9.545499058		
0.3	0.5	2.5	11	0.296482383	0.213343269	5.336255452	0.058382004	3.937729924	9.545710649		
0.15	0.5	2	8	0.418865699	0.155348868	5.177204027	0.054248396	4.15891023	9.545711521		
0.4	0.5	2.5	19	0.303135566	0.368270962	5.382206209	0.058345399	3.736926424	9.545748995		
0.55	0.5	2	20	0.461662242	0.388382607	5.588467944	0.054249853	3.514678658	9.545779062		
0.25	0.5	2	16	0.423359358	0.31070212	5.217618856	0.054249161	3.96385228	9.546422416		
0.6	0.5	2.5	11	0.349229612	0.213442474	5.771481903	0.058409152	3.504047397	9.547380927		
0.1	0.5	2	3	0.418021692	0.058255638	5.169677934	0.05424822	4.265593456	9.547775248		
0.2	0.5	2	12	0.421240091	0.233024893	5.198474627	0.054248766	4.062654574	9.54840286		
